video_id,title,published_at,view_count,like_count,comment_count,duration,thumbnail_url
gP6PNszWGqI,大統領を襲ったウサギ #雑学 #まとめる犬,2026-07-19T13:14:29Z,248706,5654,253,PT1M1S,https://i.ytimg.com/vi/gP6PNszWGqI/maxresdefault.jpg
w01_BSyurkg,ゴルフボールみたいな菌類みたいなゴルフボール #雑学 #まとめる犬,2026-07-18T10:53:56Z,412644,10244,165,PT1M2S,https://i.ytimg.com/vi/w01_BSyurkg/maxresdefault.jpg
nFN2batMG9M,大文字のリットルを使わせろ #雑学 #まとめる犬,2026-07-17T11:05:00Z,258216,5917,175,PT1M1S,https://i.ytimg.com/vi/nFN2batMG9M/maxresdefault.jpg
YIwv9OA4Mng,生きた状態で4年間展示されていたカタツムリ #雑学 #まとめる犬,2026-07-16T13:39:17Z,705125,19939,343,PT39S,https://i.ytimg.com/vi/YIwv9OA4Mng/maxresdefault.jpg
DNPFi2P3p9s,私はガラスを食べられます #雑学 #まとめる犬,2026-07-15T13:36:41Z,319568,8272,150,PT48S,https://i.ytimg.com/vi/DNPFi2P3p9s/maxresdefault.jpg
mrJbtG9nylo,アントミルとは？ #雑学 #まとめる犬,2026-07-14T12:45:07Z,249062,5027,162,PT55S,https://i.ytimg.com/vi/mrJbtG9nylo/maxresdefault.jpg
4raVsJD0MTk,10000年後へ危険を伝えるネコ #雑学 #まとめる犬,2026-07-13T13:29:07Z,738241,18029,584,PT1M1S,https://i.ytimg.com/vi/4raVsJD0MTk/maxresdefault.jpg
PBRoNo_9DxM,レーザーキーウィ #雑学 #まとめる犬,2026-07-12T13:03:12Z,1612922,46447,506,PT55S,https://i.ytimg.com/vi/PBRoNo_9DxM/maxresdefault.jpg
WadAFz2bTU4,無能のフリをした捕虜 #雑学 #まとめる犬,2026-07-11T10:42:29Z,594926,14062,192,PT1M14S,https://i.ytimg.com/vi/WadAFz2bTU4/maxresdefault.jpg
WX8tG7EV8Yg,なぜその単語を知っている？ #雑学 #まとめる犬,2026-07-10T10:14:21Z,345556,6456,84,PT1M8S,https://i.ytimg.com/vi/WX8tG7EV8Yg/maxresdefault.jpg
wiw8WSh9lpM,507歳の貝 #雑学 #まとめる犬,2026-07-09T13:52:24Z,248699,4812,97,PT43S,https://i.ytimg.com/vi/wiw8WSh9lpM/maxresdefault.jpg
HjHZT03XZ1I,バイクに祈りを捧げる寺院 #雑学 #まとめる犬,2026-07-08T11:12:51Z,107253,2377,61,PT50S,https://i.ytimg.com/vi/HjHZT03XZ1I/maxresdefault.jpg
tjZ282YISMo,期間限定イベントが暴走したゲーム #雑学 #まとめる犬,2026-07-07T09:54:27Z,214395,2515,29,PT1M1S,https://i.ytimg.com/vi/tjZ282YISMo/maxresdefault.jpg
8TdLMq5nwmE,空中で1億粒を放出 #雑学 #まとめる犬,2026-07-06T09:29:52Z,1266709,28114,716,PT45S,https://i.ytimg.com/vi/8TdLMq5nwmE/maxresdefault.jpg
Y1oP4dXBTfU,サービス終了時の奇跡 #雑学 #まとめる犬,2026-07-05T10:40:16Z,66797,1693,21,PT1M14S,https://i.ytimg.com/vi/Y1oP4dXBTfU/maxresdefault.jpg
igwGf0eNj2k,ヘルソンのアライグマ #雑学 #まとめる犬,2026-07-04T12:48:57Z,177825,3506,137,PT1M4S,https://i.ytimg.com/vi/igwGf0eNj2k/maxresdefault.jpg
X9Tgcfx1AOY,ゲーム史上最もロマンチックなサーバー終了 #雑学 #まとめる犬,2026-07-03T11:45:33Z,536158,7195,168,PT1M14S,https://i.ytimg.com/vi/X9Tgcfx1AOY/maxresdefault.jpg
h1sJuj6pcco,レシートを記述する言語 #雑学 #まとめる犬,2026-07-02T14:31:17Z,184913,4465,65,PT43S,https://i.ytimg.com/vi/h1sJuj6pcco/maxresdefault.jpg
7aDGNT8AaPk,どう見ても普通じゃない #雑学 #まとめる犬,2026-07-01T13:35:46Z,164289,3963,149,PT1M9S,https://i.ytimg.com/vi/7aDGNT8AaPk/maxresdefault.jpg
LXp-Y_8L2cI,ベルメスの顔 #雑学 #まとめる犬,2026-06-30T12:09:40Z,1105039,38038,480,PT1M3S,https://i.ytimg.com/vi/LXp-Y_8L2cI/maxresdefault.jpg
3jF9YGxj5mk,消化するアヒルロボ #雑学 #まとめる犬,2026-06-29T13:08:52Z,307733,5164,95,PT57S,https://i.ytimg.com/vi/3jF9YGxj5mk/maxresdefault.jpg
agJ_OZqWDRk,ビールに飲み込まれた街 #雑学 #まとめる犬,2026-06-28T15:11:32Z,156917,3186,108,PT1M4S,https://i.ytimg.com/vi/agJ_OZqWDRk/maxresdefault.jpg
ww34XT6-BNI,自分を所有している木 #雑学 #まとめる犬,2026-06-27T14:43:19Z,329962,7338,112,PT46S,https://i.ytimg.com/vi/ww34XT6-BNI/maxresdefault.jpg
KPhJo5xTo-k,ぐるぐる画像で特定 #雑学 #まとめる犬,2026-06-26T14:10:50Z,1158455,24420,279,PT44S,https://i.ytimg.com/vi/KPhJo5xTo-k/maxresdefault.jpg
ylH8naMyf7o,逆にカエルを食べる虫 #雑学 #まとめる犬,2026-06-25T14:44:53Z,434484,6967,222,PT49S,https://i.ytimg.com/vi/ylH8naMyf7o/maxresdefault.jpg
WRQEu51xlOU,ホッキョクグマの刑務所 #雑学 #まとめる犬,2026-06-24T14:13:02Z,99028,1788,58,PT49S,https://i.ytimg.com/vi/WRQEu51xlOU/maxresdefault.jpg
VVyXhkB4AJc,ハムスターレース #雑学 #まとめる犬,2026-06-23T15:02:59Z,114996,2563,77,PT48S,https://i.ytimg.com/vi/VVyXhkB4AJc/maxresdefault.jpg
QQ3GmfhSARg,ペンギンを蒸す機械 #雑学 #まとめる犬,2026-06-22T10:58:17Z,243229,3767,258,PT1M10S,https://i.ytimg.com/vi/QQ3GmfhSARg/maxresdefault.jpg
gNOU3StwU9Q,動かしてはいけないハシゴ #雑学 #まとめる犬,2026-06-21T11:26:31Z,447036,6868,217,PT49S,https://i.ytimg.com/vi/gNOU3StwU9Q/maxresdefault.jpg
9Jpt6_wBQd4,盲目の棋士 #雑学 #まとめる犬,2026-06-20T14:12:52Z,122306,2211,44,PT55S,https://i.ytimg.com/vi/9Jpt6_wBQd4/maxresdefault.jpg
wpKV3MuXwIQ,4本杭のハノイの塔の最短手数は？ #雑学 #まとめる犬,2026-06-19T14:34:57Z,253279,3531,110,PT54S,https://i.ytimg.com/vi/wpKV3MuXwIQ/maxresdefault.jpg
Xql8UqkQTWc,大陸は雫のように垂れている？ #雑学 #まとめる犬,2026-06-18T15:16:00Z,261974,4871,148,PT1M2S,https://i.ytimg.com/vi/Xql8UqkQTWc/maxresdefault.jpg
1dbzfYyoFYo,covfefeとは？ #雑学 #まとめる犬,2026-06-17T14:18:59Z,214987,4316,70,PT49S,https://i.ytimg.com/vi/1dbzfYyoFYo/maxresdefault.jpg
RPyCA2Ew21Y,長さの単位になった学生 #雑学 #まとめる犬,2026-06-16T12:40:38Z,430523,9368,271,PT1M2S,https://i.ytimg.com/vi/RPyCA2Ew21Y/maxresdefault.jpg
l-f9XBKtAno,ゴキブリのフェロモン #雑学 #まとめる犬,2026-06-15T11:58:18Z,75774,1848,90,PT52S,https://i.ytimg.com/vi/l-f9XBKtAno/maxresdefault.jpg
nUMAUSSUWWw,タイヤを海に沈めて大失敗 #雑学 #まとめる犬,2026-06-14T12:44:28Z,406759,4759,307,PT57S,https://i.ytimg.com/vi/nUMAUSSUWWw/maxresdefault.jpg
Bj36oSaamaA,甘い海水事件 #雑学 #まとめる犬,2026-06-13T14:48:52Z,613706,7264,705,PT47S,https://i.ytimg.com/vi/Bj36oSaamaA/maxresdefault.jpg
Ps_lZrrwVLE,羊がなる植物 #雑学 #まとめる犬,2026-06-12T14:27:15Z,179624,3781,133,PT47S,https://i.ytimg.com/vi/Ps_lZrrwVLE/maxresdefault.jpg
UTHDiXEEZ8w,存在しないのに給料を受け取る幽霊水兵は何者か？ #雑学 #まとめる犬,2026-06-11T10:57:31Z,202927,4482,107,PT1M5S,https://i.ytimg.com/vi/UTHDiXEEZ8w/maxresdefault.jpg
o13N7itrOzI,FIFAランキング最下位の国 #雑学 #まとめる犬,2026-06-10T13:01:35Z,153244,3151,103,PT1M7S,https://i.ytimg.com/vi/o13N7itrOzI/maxresdefault.jpg
iHLuD5bND_0,レイジー・ドッグとは？ #雑学 #まとめる犬,2026-06-09T12:27:00Z,92106,1578,66,PT46S,https://i.ytimg.com/vi/iHLuD5bND_0/maxresdefault.jpg
3XTynFcIVhs,弱点を発明に変えた女性 #雑学 #まとめる犬,2026-06-08T12:06:48Z,215459,5095,88,PT1M3S,https://i.ytimg.com/vi/3XTynFcIVhs/maxresdefault.jpg
Xmug2rOd4cA,Unfavorable Semicircleとは #雑学 #まとめる犬,2026-06-07T12:32:34Z,287569,6098,84,PT1M2S,https://i.ytimg.com/vi/Xmug2rOd4cA/maxresdefault.jpg
R_tJv7cAML8,マクデブルク・ユニコーン #雑学 #まとめる犬,2026-06-06T12:35:41Z,250582,5071,236,PT58S,https://i.ytimg.com/vi/R_tJv7cAML8/maxresdefault.jpg
P4Y8a3Qj3xQ,マクドナルドのアイスマシンは常に壊れている？ #雑学 #まとめる犬,2026-06-05T13:14:29Z,210389,3682,115,PT1M1S,https://i.ytimg.com/vi/P4Y8a3Qj3xQ/maxresdefault.jpg
1sHWD2nMibw,バーサーク・ラマ症候群とは？ #雑学 #まとめる犬,2026-06-04T12:55:54Z,460056,9195,276,PT58S,https://i.ytimg.com/vi/1sHWD2nMibw/maxresdefault.jpg
02p_buYpK9o,なぜ重水素が薬に使われるのか？ #雑学 #まとめる犬,2026-06-03T11:59:34Z,53811,1338,40,PT1M1S,https://i.ytimg.com/vi/02p_buYpK9o/maxresdefault.jpg
qE6cvbhXHaI,生死を分けた15段、鎌原観音堂 #雑学 #まとめる犬,2026-06-02T12:36:07Z,351129,7106,132,PT1M2S,https://i.ytimg.com/vi/qE6cvbhXHaI/maxresdefault.jpg
OK91lbHhO98,缶切りがあると仮定する #雑学 #まとめる犬,2026-06-01T13:43:53Z,811314,16458,587,PT44S,https://i.ytimg.com/vi/OK91lbHhO98/maxresdefault.jpg
hB5G-h3aBWs,周囲から隔離された森で見つかった物 #雑学 #まとめる犬,2026-05-31T13:49:22Z,1127607,17916,645,PT53S,https://i.ytimg.com/vi/hB5G-h3aBWs/maxresdefault.jpg
k814zH0y9jQ,マンジャロはなぜ糖尿病に効くのか？ #雑学 #まとめる犬,2026-05-30T10:28:50Z,69439,1469,97,PT1M5S,https://i.ytimg.com/vi/k814zH0y9jQ/maxresdefault.jpg
NkzTlW89HBg,MaDonalとは？ #雑学 #まとめる犬,2026-05-29T12:21:19Z,110265,1988,55,PT59S,https://i.ytimg.com/vi/NkzTlW89HBg/maxresdefault.jpg
YBRPoHcbdNc,人骨が大量に見つかるループクンド湖 #雑学 #まとめる犬,2026-05-28T12:44:35Z,177143,2876,114,PT1M9S,https://i.ytimg.com/vi/YBRPoHcbdNc/maxresdefault.jpg
FxuydCTVgAk,ヒドラゲームとは？ #雑学 #まとめる犬,2026-05-27T13:59:26Z,366660,6724,272,PT59S,https://i.ytimg.com/vi/FxuydCTVgAk/maxresdefault.jpg
_J1Ko-cBNaQ,フレンチパラドックス #雑学 #まとめる犬,2026-05-26T14:55:41Z,200682,3652,160,PT1M4S,https://i.ytimg.com/vi/_J1Ko-cBNaQ/maxresdefault.jpg
o9zTPR8xVVc,フリーダムフライとは？ #雑学 #まとめる犬,2026-05-25T14:18:38Z,161427,3211,185,PT58S,https://i.ytimg.com/vi/o9zTPR8xVVc/maxresdefault.jpg
IpehXpo6cQg,球形の牛とは？ #雑学 #まとめる犬,2026-05-24T13:11:32Z,597067,14278,230,PT1M2S,https://i.ytimg.com/vi/IpehXpo6cQg/maxresdefault.jpg
9UI0x7vPzrw,スプリングホイール #雑学 #まとめる犬,2026-05-23T14:35:29Z,130643,1837,42,PT1M,https://i.ytimg.com/vi/9UI0x7vPzrw/maxresdefault.jpg
XBBnu3ndoKM,分数の大小関係で失敗したバーガー #雑学 #まとめる犬,2026-05-22T13:21:15Z,573187,11217,844,PT51S,https://i.ytimg.com/vi/XBBnu3ndoKM/maxresdefault.jpg
jXlmQsU6pEE,ベリンガーの嘘石 #雑学 #まとめる犬,2026-05-21T14:04:52Z,227337,3361,104,PT58S,https://i.ytimg.com/vi/jXlmQsU6pEE/maxresdefault.jpg
as7ar5aIqS0,ヨーロッパを覆ったルテニウムの雲 #雑学 #まとめる犬,2026-05-20T13:43:41Z,127113,2112,49,PT53S,https://i.ytimg.com/vi/as7ar5aIqS0/maxresdefault.jpg
fXzoeV9Fpp4,平壌レーサー #雑学 #まとめる犬,2026-05-19T12:26:32Z,150965,2360,71,PT1M3S,https://i.ytimg.com/vi/fXzoeV9Fpp4/maxresdefault.jpg
rR_kjsg15lo,数億年前のハンマー？ #雑学 #まとめる犬,2026-05-18T12:32:12Z,203919,2566,75,PT55S,https://i.ytimg.com/vi/rR_kjsg15lo/maxresdefault.jpg
K-9xlN8-zj4,犬の頭部の血を循環させる #雑学 #まとめる犬,2026-05-17T12:41:50Z,281496,5611,227,PT1M4S,https://i.ytimg.com/vi/K-9xlN8-zj4/maxresdefault.jpg
kBhG45d-lE8,大規模リコールにつながった割り算バグ #雑学 #まとめる犬,2026-05-16T12:30:16Z,403449,6120,177,PT1M1S,https://i.ytimg.com/vi/kBhG45d-lE8/maxresdefault.jpg
VNs5tPetH6U,【全員被曝】第五福竜丸事件とは？ #雑学 #まとめる犬,2026-05-15T10:47:03Z,94611,1500,71,PT1M3S,https://i.ytimg.com/vi/VNs5tPetH6U/maxresdefault.jpg
KXrWoAQV0Fg,サンダイヤル計画とは？ #雑学 #まとめる犬,2026-05-14T13:39:58Z,101453,2073,80,PT1M5S,https://i.ytimg.com/vi/KXrWoAQV0Fg/maxresdefault.jpg
h64JLhPU8uM,大陸横断鉄道、最大の難所  #雑学 #まとめる犬,2026-05-13T12:49:53Z,85511,1519,125,PT1M5S,https://i.ytimg.com/vi/h64JLhPU8uM/maxresdefault.jpg
xhjxDlUm7JM,足だけが流れ着くエリア #雑学 #まとめる犬,2026-05-12T12:08:11Z,407039,7550,265,PT1M2S,https://i.ytimg.com/vi/xhjxDlUm7JM/maxresdefault.jpg
zu61oNERETo,神々の戦い #雑学 #まとめる犬,2026-05-11T14:01:05Z,645975,9404,108,PT50S,https://i.ytimg.com/vi/zu61oNERETo/maxresdefault.jpg
IdA3rdKWLK8,なぜWindowsからピンボールは消えたのか？ #雑学 #まとめる犬,2026-05-10T13:11:31Z,180401,2857,107,PT1M2S,https://i.ytimg.com/vi/IdA3rdKWLK8/maxresdefault.jpg
MCgQjGEJTtQ,ドミノスズメとは？ #雑学 #まとめる犬,2026-05-09T13:10:59Z,1945030,27234,1661,PT1M5S,https://i.ytimg.com/vi/MCgQjGEJTtQ/maxresdefault.jpg
bG1N8v4COlk,パクチーはカメムシの匂いは本当か？ #雑学 #まとめる犬,2026-05-08T12:06:32Z,47455,844,86,PT42S,https://i.ytimg.com/vi/bG1N8v4COlk/maxresdefault.jpg
IlCnQLJflzc,世界最小の脊椎動物 #雑学 #まとめる犬,2026-05-07T11:59:57Z,104640,2495,78,PT1M5S,https://i.ytimg.com/vi/IlCnQLJflzc/maxresdefault.jpg
Ln9EuRWRqto,命を削っていた砂場遊びの写真 #雑学 #まとめる犬,2026-05-06T13:28:44Z,430145,6456,198,PT1M2S,https://i.ytimg.com/vi/Ln9EuRWRqto/maxresdefault.jpg
KFBaaB5MYiI,スコヴィル値はなぜ定量できるのか？ #雑学 #まとめる犬,2026-05-05T13:03:03Z,78123,1724,60,PT58S,https://i.ytimg.com/vi/KFBaaB5MYiI/maxresdefault.jpg
YFglN3GRYzc,回転対称なベン図が書ける条件は？ #雑学 #まとめる犬,2026-05-04T12:30:09Z,80413,1680,86,PT1M2S,https://i.ytimg.com/vi/YFglN3GRYzc/maxresdefault.jpg
t_g2zKfTssk,なぜトウガラシは特異的に辛いのか？ #雑学 #まとめる犬,2026-05-03T14:09:08Z,77174,1394,96,PT48S,https://i.ytimg.com/vi/t_g2zKfTssk/maxresdefault.jpg
o6XZo4ffRuA,いちごヨーグルトに使われていた虫 #雑学 #まとめる犬,2026-05-02T13:32:36Z,262956,6297,259,PT1M2S,https://i.ytimg.com/vi/o6XZo4ffRuA/maxresdefault.jpg
P-3MKgMTEgw,レバーキング #雑学 #まとめる犬,2026-05-01T14:14:01Z,1339551,29914,894,PT43S,https://i.ytimg.com/vi/P-3MKgMTEgw/maxresdefault.jpg
q49KgAalknw,ハルヒ問題とは？ #雑学 #まとめる犬,2026-04-30T13:08:14Z,576770,6165,152,PT1M6S,https://i.ytimg.com/vi/q49KgAalknw/maxresdefault.jpg
ZtbGA88EWlU,ストーカーと思われた広告 #雑学 #まとめる犬,2026-04-29T13:16:22Z,49221,1061,28,PT54S,https://i.ytimg.com/vi/ZtbGA88EWlU/maxresdefault.jpg
ZbnkaF59B3w,キラーエイプ仮説とは？ #雑学 #まとめる犬,2026-04-28T13:15:30Z,176307,3329,166,PT1M4S,https://i.ytimg.com/vi/ZbnkaF59B3w/maxresdefault.jpg
mR2U6mGM6xg,ゴンベチンパンジー戦争 #雑学 #まとめる犬,2026-04-27T11:56:40Z,57746,1321,91,PT1M9S,https://i.ytimg.com/vi/mR2U6mGM6xg/maxresdefault.jpg
S0pkyfhfkUo,発音を間違えると条例違反？ #雑学 #まとめる犬,2026-04-26T14:10:08Z,123829,2425,84,PT1M1S,https://i.ytimg.com/vi/S0pkyfhfkUo/maxresdefault.jpg
PCnl-mFWL34,Amazonで大絶賛されたTシャツ #雑学 #まとめる犬,2026-04-25T11:59:33Z,228556,4388,65,PT1M6S,https://i.ytimg.com/vi/PCnl-mFWL34/maxresdefault.jpg
-9TbMb5--1M,AI加工で除名された政治家 #雑学 #まとめる犬,2026-04-24T12:16:35Z,39727,922,78,PT48S,https://i.ytimg.com/vi/-9TbMb5--1M/maxresdefault.jpg
iB81sBRtpN8,なぜ犬は排便ルーレットで南北を向くのか？ #雑学 #まとめる犬,2026-04-23T12:44:28Z,56520,1302,62,PT1M4S,https://i.ytimg.com/vi/iB81sBRtpN8/maxresdefault.jpg
lMl4IcRhMkc,なぜ「フェアリー」は「はがね」に弱いのか？ #雑学 #まとめる犬,2026-04-22T13:05:36Z,52429,1454,109,PT1M8S,https://i.ytimg.com/vi/lMl4IcRhMkc/maxresdefault.jpg
yz704vZfiqA,多くの人命を救ってきた曲 #雑学 #まとめる犬,2026-04-21T13:23:58Z,60280,1414,85,PT39S,https://i.ytimg.com/vi/yz704vZfiqA/maxresdefault.jpg
LnH-FAlMaJE,AIの正体はインド人 #雑学 #まとめる犬,2026-04-20T12:32:03Z,275911,5398,149,PT42S,https://i.ytimg.com/vi/LnH-FAlMaJE/maxresdefault.jpg
2VXOPtWuapE,MITとCaltechの仁義なき戦い #雑学 #まとめる犬,2026-04-19T14:11:05Z,135879,3069,48,PT1M5S,https://i.ytimg.com/vi/2VXOPtWuapE/maxresdefault.jpg
n-TxzQbWgp8,山火事で獲得した能力 #雑学 #まとめる犬,2026-04-18T13:11:03Z,104570,2337,87,PT1M2S,https://i.ytimg.com/vi/n-TxzQbWgp8/maxresdefault.jpg
fRjn8vNXw3c,あまりにも短すぎる論文 #雑学 #まとめる犬,2026-04-17T13:41:18Z,420748,6332,137,PT1M3S,https://i.ytimg.com/vi/fRjn8vNXw3c/maxresdefault.jpg
bPBB_qlOLZA,なぜコーヒーのシミは外側が濃くなるのか？ #雑学 #まとめる犬,2026-04-16T14:05:40Z,344898,11330,197,PT1M1S,https://i.ytimg.com/vi/bPBB_qlOLZA/maxresdefault.jpg
cjsmX3KLbCw,世界を震撼させたクリスパーベビー事件 #雑学 #まとめる犬,2026-04-15T12:31:50Z,167049,2901,224,PT1M8S,https://i.ytimg.com/vi/cjsmX3KLbCw/maxresdefault.jpg
phcW568CCBU,ナプキンリング問題 #雑学 #まとめる犬,2026-04-14T13:02:29Z,164998,3018,104,PT48S,https://i.ytimg.com/vi/phcW568CCBU/maxresdefault.jpg
kE3Pigz3ACM,9割の人が解けない「ヤギの問題」 #雑学 #まとめる犬,2026-04-13T12:13:58Z,202929,3246,344,PT1M4S,https://i.ytimg.com/vi/kE3Pigz3ACM/maxresdefault.jpg
3-_V3L-m_to,整数列辞典の整数はなぜ2層に分かれるのか？ #雑学 #まとめる犬,2026-04-12T14:08:37Z,408311,7123,156,PT1M1S,https://i.ytimg.com/vi/3-_V3L-m_to/maxresdefault.jpg
lSISaKR8_nk,ケルビン卿の拡散装置 #雑学 #まとめる犬,2026-04-11T14:40:18Z,135043,2269,52,PT48S,https://i.ytimg.com/vi/lSISaKR8_nk/maxresdefault.jpg
